star,title,quote,num,link,article
9.1,"

    鱼王


    

  ",长篇小说《鱼王》是阿斯塔菲耶夫最具个性的一部代表作，俄罗斯当代文学的经典。全书由十三个内容相对独立的“叙事短篇小说”组成，全部围绕着人与自然的关系，深入细致... ,"
        (626人评价)
    ",https://book.douban.com/subject/26853356/,"
        
  
  [俄] 维克托·阿斯塔菲耶夫 / 夏仲翼 等 / 理想国 | 广西师范大学出版社 / 2017-4 / 78.00元

      "
8.3,"

    外婆的道歉信


    

  ","内容简介：
七岁的爱莎有个古怪又疯狂的外婆，会埋伏在雪堆里吓唬邻居，把重要的事情记在墙上因为墙不会丢，半夜从医院溜出来带着爱莎翻进动物园，在阳台上用彩弹枪射... ","
        (3086人评价)
    ",https://book.douban.com/subject/27029890/,"
        
  
  [瑞典] 弗雷德里克·巴克曼 / 孟汇一 / 天津人民出版社 / 2017-5 / 42.00元

      "
8.6,"

    囚鸟


    

  ","我们都是受困于时代的“囚鸟”——既渴望逃离，又踟蹰不前。
联邦最低限度安保措施成人改造所里，颓唐的小老头儿瓦尔特•斯代布克正在等待领他出狱的狱卒。
在他过去... ","
        (1130人评价)
    ",https://book.douban.com/subject/27045888/,"
        
  
  [美] 库尔特·冯内古特 / 董乐山 / 百花洲文艺出版社 / 2017-6 / 38.00元

      "
8.9,"

    霍乱时期的爱情


    

  ","★马尔克斯唯一正式授权，首次完整翻译
★《霍乱时期的爱情》是我最好的作品，是我发自内心的创作。——加西亚•马尔克斯
★这部光芒闪耀、令人心碎的作品是人类有史... ","
        (59400人评价)
    ",https://book.douban.com/subject/10594787/,"
        
  
  [哥伦比亚] 加西亚·马尔克斯 / 杨玲 / 南海出版公司 / 2012-9-1 / 39.50元

      "
8.9,"

    月亮和六便士


    

  ",一个英国证券交易所的经纪人，本已有牢靠的职业和地位、美满的家庭，但却迷恋上绘画，像“被魔鬼附了体”，突然弃家出走，到巴黎去追求绘画的理想。他的行径没有人能够... ,"
        (68865人评价)
    ",https://book.douban.com/subject/1858513/,"
        
  
  [英] 毛姆 / 傅惟慈 / 上海译文出版社 / 2006-8 / 15.00元

      "
9.2,"

    杀死一只知更鸟


    

  ",成长总是个让人烦恼的命题。成长有时会很缓慢，如小溪般唱着叮咚的歌曲趟过，有时却如此突如其来，如暴雨般劈头盖脸……三个孩子因为小镇上的几桩冤案经历了猝不及防的... ,"
        (12312人评价)
    ",https://book.douban.com/subject/6781808/,"
        
  
  [美] 哈珀·李 / 高红梅 / 译林出版社 / 2012-9 / 32.00元

      "
9.1,"

    世界的凛冬


    
      ,

  ","我亲眼目睹，每一个迈向死亡的生命都在热烈地生长。
全球读者平均3个通宵读完的超级小说《巨人的陨落》的续篇！
火遍全球的20世纪人类史诗“世纪三部曲”第二部。... ","
        (7548人评价)
    ",https://book.douban.com/subject/26957760/,"
        
  
  [英] 肯·福莱特 / 陈杰 / 江苏凤凰文艺出版社 / 2017-3-1 / 132.00（全三册）

      "
9.0,"

    活着为了讲述


    

  ","一生中总会遇到一本书，奠定你人生的基调。
★《百年孤独》作者马尔克斯唯一自传
生活不是我们活过的日子，而是我们记住的日子，我们为了讲述而在记忆中重现的日子。... ","
        (2478人评价)
    ",https://book.douban.com/subject/26657570/,"
        
  
  [哥伦比亚] 加西亚·马尔克斯 / 李静 / 南海出版公司 / 2016-4-1 / 55.00元

      "
8.8,"

    斯通纳


    

  ","《斯通纳》讲述了生命中最重要的部分：爱，认同，怜悯，志业，傲骨，信任与死亡。
一个勇者有过的失败不失意的人生：即使不能拥有完美的生活，所幸追求过完整的自我。... ","
        (12307人评价)
    ",https://book.douban.com/subject/26425831/,"
        
  
  [美] 约翰·威廉斯 / 杨向荣 / 世纪文景/上海人民出版社 / 2016-1 / 39.00元

      "
9.3,"

    飘


    

  ",小说中的故事发生在1861年美国南北战争前夕。生活在南方的少女郝思嘉从小深受南方文化传统的熏陶，可在她的血液里却流淌着野性的叛逆因素。随着战火的蔓廷和生活环... ,"
        (77170人评价)
    ",https://book.douban.com/subject/1068920/,"
        
  
  [美国] 玛格丽特·米切尔 / 李美华 / 译林出版社 / 2000-9 / 40.00元

      "
8.3,"

    戴上手套擦泪


    
      ,

  ","★ 北欧版《霍乱时期的爱情》
★ 作者乔纳斯‧嘉德尔因为此书获选为年度风云人物，由瑞典王储亲自颁奖
★ 同名影集击败《冰与火之歌》荣膺欧洲电视大奖，豆瓣评分... ","
        (603人评价)
    ",https://book.douban.com/subject/27006492/,"
        
  
  [瑞典] 乔纳斯·嘉德尔 / 郭腾坚 / 甘肃人民美术出版社 / 2017-5 / 38

      "
8.5,"

    我的天才女友


    
      ,

  ","只有你身为女人才会知道这些丑陋的秘密
两个女人，50年的友谊和战争
过去五年，几乎所有欧美读者都在谈论她、
全球畅销百万册 被翻译成40种语言
《金融时报》... ","
        (4264人评价)
    ",https://book.douban.com/subject/26878124/,"
        
  
  [意] 埃莱娜·费兰特 / 陈英 / 人民文学出版社 / 2017-1 / 42.00元

      "
9.0,"

    灯塔


    

  ","若未知的世界让人心生恐惧，
我们是自我封闭，还是勇敢走出去？
欧洲著名漫画诗人夏布特
最敏感忧伤的“慢镜头图像小说”
讲述人类心底无法承受的孤独和渴望拥有的... ","
        (2579人评价)
    ",https://book.douban.com/subject/26695174/,"
        
  
  [法] 克里斯多夫·夏布特 / 吕俊君 / 北京联合出版公司·后浪出版公司 / 2016-2 / 128.00元

      "
9.0,"

    局外人


    

  ",《局外人》是加缪小说的成名作和代表作之一，堪称20世纪整个西方文坛最具有划时代意义最著名小说之一，“局外人”也由此成为整个西方文学-哲学中最经典的人物形象和... ,"
        (27238人评价)
    ",https://book.douban.com/subject/4908885/,"
        
  
  [法] 阿尔贝·加缪 / 柳鸣九 / 上海译文出版社 / 2010-9 / 22.00元

      "
8.4,"

    最后的精灵


    
      ,

  ","每个人心中都有一个最后的精灵
迫不及待想与最爱的人分享的故事
欧洲当世唯一可与《小王子》媲美的生命寓言
意大利、法国、日本三国诺贝尔文学奖获得者温馨分享的成... ","
        (1474人评价)
    ",https://book.douban.com/subject/3823070/,"
        
  
  希瓦娜‧达玛利 / 景翔 / 河南文艺出版社 / 2009-7 / 26.80元

      "
9.0,"

    刀锋


    

  ","威廉·萨默塞特·毛姆（1874-1965），英国著名小说家、戏剧家。《刀锋》是他的主要作品之一。
小说写一个参加第一次世界大战的美国青年飞行员拉里·达雷尔。... ","
        (25442人评价)
    ",https://book.douban.com/subject/2035162/,"
        
  
  [英]毛姆 / 周煦良 / 上海译文出版社 / 2007-3 / 18.00元

      "
9.4,"

    贝伦与露西恩


    

  ","《霍比特人》《魔戒》作者毕生所寄 世间最美的爱情诗篇
1917“一战”索姆河战场归来J.R.R.托尔金潜心动笔创世中洲
2017 克里斯托弗·托尔金以父母爱... ","
        (117人评价)
    ",https://book.douban.com/subject/27035185/,"
        
  
  [英] J.R.R. 托尔金 著、[英] 克里斯托弗·托尔金 编、[英] 艾伦·李 图 / 石中歌、杜蕴慈、邓嘉宛 / 世纪文景/上海人民出版社 / 2017-6 / 69.80元

      "
9.3,"

    卡拉马佐夫兄弟


    

  ",老卡拉马佐夫贪婪好色，独占妻子留给儿子们的遗产，并与长子德米特里为一个风流女子争风吃醋。一天黑夜，德米特里疑心自己的情人去跟老头儿幽会，便闯入家园，一怒之下... ,"
        (7042人评价)
    ",https://book.douban.com/subject/1856494/,"
        
  
  [俄]陀思妥耶夫斯基 / 荣如德 / 上海译文出版社 / 2006-8 / 25.00

      "
8.5,"

    不能承受的生命之轻


    

  ",《不能承受的生命之轻》是米兰·昆德拉最负盛名的作品。小说描写了托马斯与特丽莎、萨丽娜之间的感情生活。但它不是一个男人和两个女人的三角性爱故事，它是一部哲理小... ,"
        (134032人评价)
    ",https://book.douban.com/subject/1017143/,"
        
  
  [捷克] 米兰·昆德拉 / 许钧 / 上海译文出版社 / 2003-7 / 23.00元

      "
8.7,"

    醒来的女性


    

  ","我们来认识一下米拉。
她是一位喜爱读书的小镇女孩，从小就是个独立而聪明的孩子。她十四岁读尼采和潘恩，开学第一天就学完了全部课本，学校只得让她跳级。可这是二十... ","
        (235人评价)
    ",https://book.douban.com/subject/27042344/,"
        
  
  [美] 玛丽莲·弗伦奇 / 余莉 / 北京联合出版公司 / 2017-7 / 90

      "
9.0,"

    小王子


    

  ",小王子是一个超凡脱俗的仙童，他住在一颗只比他大一丁点儿的小行星上。陪伴他的是一朵他非常喜爱的小玫瑰花。但玫瑰花的虚荣心伤害了小王子对她的感情。小王子告别小行... ,"
        (223262人评价)
    ",https://book.douban.com/subject/1084336/,"
        
  
  [法] 圣埃克苏佩里 / 马振聘 / 人民文学出版社 / 2003-8 / 22.00元

      "
8.3,"

    黎明破晓的世界


    
      ,

  ","【编辑推荐】
.
★《光荣与梦想》作者、美国著名通俗历史学家 威廉·曼彻斯特
唯一一部关于中世纪历史之有力著作
.
★美国国家畅销书
《纽约时报》畅销书
彭... ","
        (377人评价)
    ",https://book.douban.com/subject/27026379/,"
        
  
  [美] 威廉·曼彻斯特 / 张晓璐、罗志强 / 悦读名品 | 化学工业出版社 / 2017-6-1 / 98.00元

      "
8.2,"

    恋情的终结


    

  ",二战期间的英国伦敦，作家莫里斯爱上公务员亨利的妻子萨拉。一次意外事件导致萨拉不辞而别， 莫里斯在恨和嫉妒中度过了两年。两年后 ，他们再次相遇，当初那段感情中... ,"
        (3352人评价)
    ",https://book.douban.com/subject/26279019/,"
        
  
  [英] 格雷厄姆·格林 / 柯平 / 江苏凤凰文艺出版社 / 2017-4 / 58.00元

      "
8.6,"

    你一生的故事


    
      ,

  ","一瞥之下，过去与未来轰轰然同时并至，
我的意识成为长达半个世纪的灰烬，时间未至已成灰。
五十年诸般纷纭并发眼底，我的余生尽在其中。
还有，你的一生。
《你一... ","
        (9145人评价)
    ",https://book.douban.com/subject/26295448/,"
        
  
  [美] 特德·姜 / 李克勤、王荣生、姚向辉 / 译林出版社 / 2015-5 / 36.00元

      "
8.3,"

    吃鲷鱼让我打嗝


    

  ","演员×剧作家×小说家、导演×制片×编剧
杰西•艾森伯格
首部短篇小说集、同名美剧拍摄中
《吃鲷鱼让我打嗝》是杰西•艾森伯格创作的首部短篇小说集。全书以“吃鲷... ","
        (1000人评价)
    ",https://book.douban.com/subject/26893260/,"
        
  
  [美] 杰西·艾森伯格 / 吴文忠 / 人民文学出版社 / 2017-4 / 49.00

      "
8.9,"

    欢迎来到猴子馆


    

  ","【编辑推荐】
★冯内古特重要短篇小说集之一，问世50年首次引进中文版；楚尘文化“冯内古特黑色幽默作品系列”2017年重磅推出。
★ 村上春树、多丽丝·莱辛、... ","
        (115人评价)
    ",https://book.douban.com/subject/27068817/,"
        
  
  [美] 库尔特·冯内古特 / 王宇光 / 中信出版集团/楚尘文化 / 2017-7-20 / 48.00元

      "
9.0,"

    人生的枷锁


    

  ","《人生的枷锁》是毛姆的代表作，具有明显的自传色彩。
小说主人公菲利普·凯里自幼父母双亡，不幸又先天残疾，在冷漠而陌生的环境中度过了童年，性格因此孤僻而敏感。... ","
        (11663人评价)
    ",https://book.douban.com/subject/2035171/,"
        
  
  [英] 毛姆 / 张柏然、张增健、倪俊 / 上海译文出版社 / 2007-3 / 32.00元

      "
8.8,"

    看不见的城市


    

  ",《看不见的城市》的第一版是在1972年11月由都灵的埃伊纳乌迪出版社出版的。在这本书出版的时候，从1972年底到1973年初，卡尔维诺曾在多家报纸的文章和访... ,"
        (26216人评价)
    ",https://book.douban.com/subject/1863930/,"
        
  
  [意大利]伊塔洛·卡尔维诺 / 张宓 / 译林出版社 / 2006-8 / 16.00元

      "
8.8,"

    方向


    

  ","欧洲艺术漫画奇才马修全新烧脑神作
图像小说内容和形式上的双重突破
智力与想象力的乐趣背后，是深刻的哲学探讨
...................
※编辑推... ","
        (667人评价)
    ",https://book.douban.com/subject/26975609/,"
        
  
  [法] 马克-安托万·马修 / 后浪漫（编译） / 后浪丨北京联合出版公司 / 2017-4 / 99.80元

      "
8.3,"

    被仰望与被遗忘的


    

  ","新新闻主义之父 盖伊·特立斯 初试啼声，即成经典
20世纪最伟大的非虚构书写 全世界特稿写作者的典范
每个匆匆行走在城市中的人，都有一身故事：歌星辛纳屈 玛... ","
        (554人评价)
    ",https://book.douban.com/subject/26818878/,"
        
  
  [美] 盖伊·特立斯 / 范晓彬、姜伊敏 / 上海人民出版社 / 2017-3 / 65.00元

      "
9.2,"

    动物农场


    

  ","《动物农场》是奥威尔最优秀的作品之一，是一则入木三分的反乌托的政治讽喻寓言。
农场的一群动物成功地进行了一场“革命”，将压榨他们的人类东家赶出农场，建立起一... ","
        (31241人评价)
    ",https://book.douban.com/subject/2035179/,"
        
  
  [英] 乔治·奥威尔 / 荣如德 / 上海译文出版社 / 2007-3 / 10.00元

      "
